FinalComple Comple Symm FIFOSlowdown FIFOUnfairness FairSlowdown FairUnfairness DRFSlowdown DRFUnfairness PerfSlowdown PerfUnfairness 
0.025 0.099 0.500 0.043 0.099 0.234 0.026 0.255 0.000 0.000 0.012
0.043 0.173 0.500 0.224 0.104 0.075 0.084 0.045 0.000 0.000 0.020
0.000 0.009 0.091 0.209 0.230 0.284 0.062 0.269 0.000 0.000 0.372
0.008 0.200 0.200 0.274 0.712 0.258 0.001 0.258 0.000 0.000 0.574
0.061 0.243 0.500 0.000 0.432 0.095 0.083 0.095 0.000 0.000 0.319
0.057 0.112 0.714 0.101 0.000 0.116 0.218 0.101 0.000 0.000 0.039
0.052 0.102 0.714 0.217 0.184 0.130 0.236 0.217 0.000 0.000 0.225
0.012 0.047 0.500 0.085 0.230 0.239 0.053 0.197 0.000 0.000 0.131
0.018 0.073 0.500 0.080 0.236 0.080 0.135 0.046 0.000 0.000 0.124
0.006 0.058 0.333 0.012 0.099 0.000 0.041 0.035 0.000 0.118 0.180
0.071 0.071 1.000 0.064 0.045 0.154 0.163 0.179 0.000 0.000 0.025
0.122 0.122 1.000 0.135 0.201 0.176 0.119 0.108 0.000 0.000 0.179
0.011 0.101 0.333 0.148 0.182 0.311 0.080 0.295 0.000 0.000 0.150
0.081 0.159 0.714 0.129 0.448 0.129 0.139 0.043 0.000 0.000 0.401
0.055 0.107 0.714 0.093 0.073 0.187 0.090 0.147 0.000 0.000 0.391
0.025 0.098 0.500 0.027 0.157 0.257 0.135 0.216 0.000 0.000 0.394
0.036 0.071 0.714 0.016 0.923 0.190 0.203 0.095 0.000 0.000 0.793
0.017 0.070 0.500 0.034 0.096 0.103 0.203 0.103 0.000 0.000 0.292
0.059 0.116 0.714 0.162 0.123 0.103 0.068 0.044 0.000 0.000 0.000
0.116 0.116 1.000 0.062 0.352 0.000 0.088 0.141 0.000 0.016 0.403
0.014 0.125 0.333 0.139 1.745 0.111 0.135 0.028 0.000 0.000 0.424
0.151 0.151 1.000 0.000 2.053 0.103 0.112 0.064 0.000 0.051 1.015
0.052 0.101 0.714 0.027 0.078 0.151 0.183 0.151 0.000 0.000 0.145
0.055 0.107 0.714 0.262 0.694 0.410 0.067 0.361 0.000 0.000 0.276
0.048 0.190 0.500 0.237 0.415 0.220 0.111 0.220 0.000 0.000 0.005
0.003 0.073 0.200 0.083 0.295 0.354 0.128 0.292 0.000 0.000 0.000
0.104 0.203 0.714 0.022 0.172 0.000 0.077 0.000 0.000 0.000 0.063
0.051 0.051 1.000 0.000 0.018 0.135 0.111 0.135 0.000 0.027 0.278
0.062 0.122 0.714 0.210 0.243 0.258 0.090 0.258 0.000 0.000 0.247
0.007 0.062 0.333 0.037 0.187 0.037 0.060 0.073 0.000 0.000 0.305
0.116 0.116 1.000 0.065 0.483 0.113 0.125 0.065 0.000 0.000 0.319
0.081 0.159 0.714 0.188 0.141 0.141 0.123 0.082 0.000 0.000 0.064
0.012 0.109 0.333 0.085 0.068 0.024 0.134 0.073 0.000 0.000 0.056
0.010 0.094 0.333 0.136 0.431 0.074 0.066 0.086 0.000 0.000 0.042
0.074 0.146 0.714 0.224 0.126 0.224 0.194 0.207 0.000 0.000 0.274
